intent,text
pay_bill,سدد فاتورة الكهرباء
pay_bill,قم بدفع فاتورة الكهرباء
pay_bill,ادفع قيمة فاتورة الكهرباء
pay_bill,قم بسداد فاتورة الكهرباء
pay_bill,سدد مستحقات الكهرباء
pay_bill,سدد فاتورة المياه
pay_bill,قم بدفع فاتورة الماء
pay_bill,ادفع مستحقات المياه
pay_bill,قم بسداد فاتورة الماء
pay_bill,سدد قيمة فاتورة المياه
pay_bill,ادفع فاتورة الإنترنت
pay_bill,قم بسداد فاتورة الإنترنت
pay_bill,سدد قيمة فاتورة الإنترنت
pay_bill,قم بدفع فاتورة الإنترنت
pay_bill,سدد مستحقات الإنترنت
pay_bill,سدد فاتورة الهاتف
pay_bill,قم بدفع فاتورة الهاتف
pay_bill,ادفع قيمة فاتورة الهاتف
pay_bill,قم بسداد فاتورة الهاتف
pay_bill,سدد مستحقات الهاتف
pay_bill,سدد فاتورة الغاز
pay_bill,قم بدفع فاتورة الغاز
pay_bill,ادفع قيمة فاتورة الغاز
pay_bill,قم بسداد فاتورة الغاز
pay_bill,سدد مستحقات الغاز
pay_bill,قم بسداد رسوم الجامعة
pay_bill,سدد التكاليف الجامعية
pay_bill,قم بدفع مستحقات الجامعة
pay_bill,أتمم سداد الرسوم الجامعية
pay_bill,سدد المصاريف الجامعية
pay_bill,ادفع فاتورة الماء المتراكمة
pay_bill,سدد فواتير المياه المتأخرة
pay_bill,سدد المبالغ المستحقة للمياه
pay_bill,ادفع مستحقات المياه المتأخرة
pay_bill,سدد فاتورة المياه غير المسددة
pay_bill,سدد تكلفة الكهرباء لهذا الشهر
pay_bill,قم بدفع اشتراك الكهرباء لهذا الشهر
pay_bill,سدد رسوم الكهرباء الشهرية
pay_bill,ادفع قيمة استهلاك الكهرباء لهذا الشهر
pay_bill,سدد فاتورة اشتراك الكهرباء لهذا الشهر
pay_bill,سدد مستحقات الهاتف الأرضي
pay_bill,ادفع فاتورة التلفون الأرضي
pay_bill,سدد قيمة فاتورة الهاتف الثابت
pay_bill,ادفع تكاليف الهاتف الأرضي
pay_bill,سدد فاتورة الهاتف المنزلي
pay_bill,سدد اشتراك الإنترنت لشهر آب
pay_bill,ادفع فاتورة الإنترنت الخاصة بشهر آب
pay_bill,سدد قيمة إنترنت شهر آب
pay_bill,ادفع مستحقات الإنترنت لشهر آب
pay_bill,قم بسداد فاتورة الإنترنت لشهر آب
pay_bill,قم بسداد الرسوم المدرسية
pay_bill,ادفع التكاليف المدرسية
pay_bill,سدد المصاريف المدرسية
pay_bill,قم بدفع أقساط المدرسة
pay_bill,سدد رسوم المدرسة
pay_bill,ادفع ضريبة المسقفات
pay_bill,قم بسداد ضريبة المسقفات
pay_bill,سدد رسوم المسقفات الضريبية
pay_bill,ادفع مستحقات ضريبة المسقفات
pay_bill,قم بدفع رسوم المسقفات
pay_bill,سدد فاتورة إنترنت الفايبر
pay_bill,ادفع مستحقات إنترنت الألياف الضوئية
pay_bill,قم بسداد فاتورة فايبر للنت
pay_bill,ادفع فاتورة الألياف الضوئية
pay_bill,سدد تكلفة فاتورة الفايبر
pay_bill,سدد فاتورة الكهرباء حالاً
pay_bill,قم بدفع فاتورة الكهرباء فوراً
pay_bill,ادفع مستحقات الكهرباء في الحال
pay_bill,سدد فاتورة الكهرباء على الفور
pay_bill,قم بسداد فاتورة الكهرباء الآن
pay_bill,ادفع فاتورة المياه اليوم
pay_bill,سدد فاتورة الماء اليوم
pay_bill,قم بسداد مستحقات المياه اليوم
pay_bill,ادفع قيمة فاتورة الماء اليوم
pay_bill,قم بدفع فاتورة المياه في هذا اليوم
pay_bill,سدد رسوم اشتراك باقة الجوال
pay_bill,قم بدفع تكاليف اشتراك باقة الهاتف المحمول
pay_bill,أدّ رسوم اشتراك باقة الموبايل
pay_bill,سدد مبالغ اشتراك باقة الجوال
pay_bill,قم بسداد قيمة اشتراك باقة الهاتف
pay_bill,سدد فاتورة التلفاز
pay_bill,قم بدفع فاتورة التلفزيون
pay_bill,أدّ مستحقات فاتورة التلفاز
pay_bill,قم بسداد فاتورة التلفاز
pay_bill,سدد قيمة فاتورة التلفزيون
pay_bill,سدد مخالفة المرور
pay_bill,قم بدفع غرامة السير
pay_bill,أدّ رسوم مخالفة المرور
pay_bill,قم بسداد غرامة السير
pay_bill,سدد قيمة مخالفة السير
pay_bill,سدد الرسوم الجامعية لهذا الفصل الدراسي
pay_bill,قم بدفع تكاليف الجامعة لهذا الفصل
pay_bill,أدّ مستحقات الجامعة لهذا الترم الدراسي
pay_bill,قم بسداد أقساط الجامعة لهذا الفصل
pay_bill,سدد رسوم الجامعة لهذا الفصل الدراسي
pay_bill,ادفع فاتورة الغاز فوراً
pay_bill,قم بسداد فاتورة الغاز حالاً
pay_bill,أدّ فاتورة الغاز في الوقت الحالي
pay_bill,ادفع مستحقات فاتورة الغاز الآن
pay_bill,سدد قيمة فاتورة الغاز في الحال
pay_bill,سدد فاتورة مياه المنزل
pay_bill,قم بدفع مستحقات المياه الخاصة بالبيت
pay_bill,ادفع قيمة استهلاك المياه للمنزل
pay_bill,سدد فاتورة مياه البيت
pay_bill,قم بسداد حساب المياه المنزلي
pay_bill,سدد فاتورة الكهرباء المسجلة باسم البيت
pay_bill,قم بدفع حساب الكهرباء الذي باسم المنزل
pay_bill,ادفع فاتورة الكهرباء المنسوبة لاسم البيت
pay_bill,سدد تكاليف الكهرباء الصادرة باسم المنزل
pay_bill,قم بسداد فاتورة الكهرباء تحت مسمى البيت
pay_bill,سدد فاتورة الهاتف الشهرية
pay_bill,قم بدفع اشتراك الهاتف الشهري
pay_bill,ادفع مستحقات الهاتف الشهرية
pay_bill,سدد الحساب الشهري للهاتف
pay_bill,قم بسداد فاتورة الهاتف لكل شهر
pay_bill,ادفع تكاليف الخدمة
pay_bill,قم بسداد مستحقات الخدمة
pay_bill,ادفع رسوم تقديم الخدمة
pay_bill,سدد مبالغ الخدمة المطلوبة
pay_bill,قم بدفع أجور الخدمة
pay_bill,سدد فاتورة شركة الاتصالات
pay_bill,قم بدفع مستحقات شركة الاتصال
pay_bill,سدد حساب شركة الاتصالات
pay_bill,ادفع قيمة فاتورة شركة الاتصالات
pay_bill,قم بسداد فاتورة مزود الاتصالات
pay_bill,سدد فاتورة الإنترنت للشهر المنصرم
pay_bill,ادفع فاتورة الإنترنت عن الشهر الفائت
pay_bill,أتمم دفع فاتورة الإنترنت للشهر السابق
pay_bill,سدد مستحقات الإنترنت عن الشهر الماضي
pay_bill,ادفع فاتورة الإنترنت الخاصة بالشهر المنقضي
pay_bill,سدد فاتورة المياه لهذا الشهر
pay_bill,ادفع مستحقات المياه عن الشهر الحالي
pay_bill,أتمم سداد استهلاك المياه لهذا الشهر
pay_bill,ادفع تكاليف المياه عن الشهر الجاري
pay_bill,سدد قيمة فاتورة المياه لهذه الفترة
pay_bill,سدد فواتير الكهرباء المتجمعة
pay_bill,ادفع فاتورة الكهرباء المتأخرة
pay_bill,أتمم سداد مستحقات الكهرباء المتراكمة
pay_bill,سدد ما تراكم من فاتورة الكهرباء
pay_bill,ادفع المبالغ المتراكمة لفاتورة الكهرباء
pay_bill,ادفع قيمة فاتورة الهاتف
pay_bill,سدد مستحقات فاتورة الهاتف
pay_bill,أتمم دفع فاتورة الهاتف
pay_bill,سدد تكاليف فاتورة الهاتف
pay_bill,ادفع المبالغ المطلوبة للهاتف
pay_bill,سدد الفاتورة الواجبة الدفع
pay_bill,ادفع الفاتورة المطلوبة
pay_bill,قم بتسوية الفاتورة المستحقة
pay_bill,سدد قيمة الفاتورة المستحقة
pay_bill,ادفع المبالغ المترتبة على الفاتورة
p2p_transfer,أرسل 5 دنانير لأحمد
p2p_transfer,حول لأحمد 5 دنانير
p2p_transfer,قم بتحويل 5 دنانير لأحمد
p2p_transfer,انقل 5 دنانير لأحمد
p2p_transfer,قم بإرسال 5 دنانير لأحمد
p2p_transfer,أرسل 10 دنانير لليلى
p2p_transfer,حول لليلى 10 دنانير
p2p_transfer,قم بتحويل 10 دنانير لليلى
p2p_transfer,انقل 10 دنانير لليلى
p2p_transfer,قم بإرسال 10 دنانير لليلى
p2p_transfer,أرسل 15 ديناراً لمحمد
p2p_transfer,حول لمحمد 15 ديناراً
p2p_transfer,قم بتحويل 15 ديناراً لمحمد
p2p_transfer,انقل 15 ديناراً لمحمد
p2p_transfer,قم بإرسال 15 ديناراً لمحمد
p2p_transfer,أرسل 20 ديناراً لسارة
p2p_transfer,حول لسارة 20 ديناراً
p2p_transfer,قم بتحويل 20 ديناراً لسارة
p2p_transfer,انقل 20 ديناراً لسارة
p2p_transfer,قم بإرسال 20 ديناراً لسارة
p2p_transfer,أرسل 25 ديناراً لخالد
p2p_transfer,حول لخالد 25 ديناراً
p2p_transfer,قم بتحويل 25 ديناراً لخالد
p2p_transfer,انقل 25 ديناراً لخالد
p2p_transfer,قم بإرسال 25 ديناراً لخالد
p2p_transfer,قم بتحويل 30 ديناراً إلى رنا
p2p_transfer,أرسل مبلغ 30 ديناراً لرنا
p2p_transfer,حول لرنا مبلغ 30 ديناراً
p2p_transfer,قم بإرسال 30 ديناراً لرنا
p2p_transfer,أجرِ تحويلاً بقيمة 30 ديناراً لرنا
p2p_transfer,قم بتحويل 35 ديناراً إلى عمر
p2p_transfer,أرسل مبلغ 35 ديناراً لعمر
p2p_transfer,حول لعمر مبلغ 35 ديناراً
p2p_transfer,قم بإرسال 35 ديناراً لعمر
p2p_transfer,أجرِ تحويلاً بقيمة 35 ديناراً لعمر
p2p_transfer,قم بتحويل 40 ديناراً إلى مريم
p2p_transfer,أرسل مبلغ 40 ديناراً لمريم
p2p_transfer,حول لمريم مبلغ 40 ديناراً
p2p_transfer,قم بإرسال 40 ديناراً لمريم
p2p_transfer,أجرِ تحويلاً بقيمة 40 ديناراً لمريم
p2p_transfer,قم بتحويل 45 ديناراً إلى يوسف
p2p_transfer,أرسل مبلغ 45 ديناراً ليوسف
p2p_transfer,حول ليوسف مبلغ 45 ديناراً
p2p_transfer,قم بإرسال 45 ديناراً ليوسف
p2p_transfer,أجرِ تحويلاً بقيمة 45 ديناراً ليوسف
p2p_transfer,قم بتحويل 50 ديناراً إلى هبة
p2p_transfer,أرسل مبلغ 50 ديناراً لهبة
p2p_transfer,حول لهبة مبلغ 50 ديناراً
p2p_transfer,قم بإرسال 50 ديناراً لهبة
p2p_transfer,أجرِ تحويلاً بقيمة 50 ديناراً لهبة
p2p_transfer,أرسل 60 دينار لنور
p2p_transfer,انقل 60 دينار لنور
p2p_transfer,ابعث 60 دينار لنور
p2p_transfer,حوّل 60 دينار إلى نور
p2p_transfer,قم بتحويل 60 دينار لنور
p2p_transfer,أرسل 70 دينار لعلي
p2p_transfer,انقل 70 دينار لعلي
p2p_transfer,ابعث 70 دينار لعلي
p2p_transfer,حوّل 70 دينار إلى علي
p2p_transfer,قم بتحويل 70 دينار لعلي
p2p_transfer,أرسل 80 دينار لتالا
p2p_transfer,انقل 80 دينار لتالا
p2p_transfer,ابعث 80 دينار لتالا
p2p_transfer,حوّل 80 دينار إلى تالا
p2p_transfer,قم بتحويل 80 دينار لتالا
p2p_transfer,أرسل 90 دينار لسلمى
p2p_transfer,انقل 90 دينار لسلمى
p2p_transfer,ابعث 90 دينار لسلمى
p2p_transfer,حوّل 90 دينار إلى سلمى
p2p_transfer,قم بتحويل 90 دينار لسلمى
p2p_transfer,أرسل 100 دينار لزيد
p2p_transfer,انقل 100 دينار لزيد
p2p_transfer,ابعث 100 دينار لزيد
p2p_transfer,حوّل 100 دينار إلى زيد
p2p_transfer,قم بتحويل 100 دينار لزيد
p2p_transfer,قم بتحويل دينارين لأحمد
p2p_transfer,أرسل دينارين لأحمد
p2p_transfer,انقل دينارين لأحمد
p2p_transfer,قم بإرسال دينارين لأحمد
p2p_transfer,حوّل مبلغ دينارين لأحمد
p2p_transfer,قم بتحويل ثلاث دنانير لليلى
p2p_transfer,أرسل ثلاث دنانير لليلى
p2p_transfer,انقل ثلاث دنانير لليلى
p2p_transfer,قم بإرسال ثلاث دنانير لليلى
p2p_transfer,حوّل لليلى ثلاث دنانير
p2p_transfer,قم بتحويل أربعة دنانير لمحمد
p2p_transfer,أرسل أربعة دنانير لمحمد
p2p_transfer,انقل أربعة دنانير لمحمد
p2p_transfer,قم بإرسال أربعة دنانير لمحمد
p2p_transfer,حوّل لمحمد أربعة دنانير
p2p_transfer,قم بتحويل 12 دينار لسارة اليوم
p2p_transfer,أرسل 12 دينار لسارة اليوم
p2p_transfer,انقل 12 دينار لسارة اليوم
p2p_transfer,قم بإرسال 12 دينار لسارة اليوم
p2p_transfer,حوّل لسارة 12 دينار اليوم
p2p_transfer,قم بتحويل 18 دينار لخالد الآن
p2p_transfer,أرسل 18 دينار لخالد الآن
p2p_transfer,انقل 18 دينار لخالد الآن
p2p_transfer,قم بإرسال 18 دينار لخالد الآن
p2p_transfer,حوّل لخالد 18 دينار الآن
p2p_transfer,أرسل 22 ديناراً لرنا حالاً
p2p_transfer,قم بتحويل 22 ديناراً إلى رنا فوراً
p2p_transfer,انقل 22 ديناراً لرنا في الحال
p2p_transfer,ابعث 22 ديناراً إلى رنا مباشرة
p2p_transfer,قم بإرسال 22 ديناراً لرنا الآن
p2p_transfer,أرسل 37 ديناراً لعمر
p2p_transfer,قم بتحويل 37 ديناراً إلى عمر
p2p_transfer,انقل 37 ديناراً لعمر
p2p_transfer,ابعث 37 ديناراً إلى عمر
p2p_transfer,قم بإرسال 37 ديناراً لعمر
p2p_transfer,أرسل 55 ديناراً لمريم
p2p_transfer,قم بتحويل 55 ديناراً إلى مريم
p2p_transfer,انقل 55 ديناراً لمريم
p2p_transfer,ابعث 55 ديناراً إلى مريم
p2p_transfer,قم بإرسال 55 ديناراً لمريم
p2p_transfer,أرسل 75 ديناراً ليوسف
p2p_transfer,قم بتحويل 75 ديناراً إلى يوسف
p2p_transfer,انقل 75 ديناراً ليوسف
p2p_transfer,ابعث 75 ديناراً إلى يوسف
p2p_transfer,قم بإرسال 75 ديناراً ليوسف
p2p_transfer,أرسل 95 ديناراً لهبة
p2p_transfer,قم بتحويل 95 ديناراً إلى هبة
p2p_transfer,انقل 95 ديناراً لهبة
p2p_transfer,ابعث 95 ديناراً إلى هبة
p2p_transfer,قم بإرسال 95 ديناراً لهبة
p2p_transfer,قم بتحويل مبلغ 10 دنانير لحمزة
p2p_transfer,أرسل مبلغ 10 دنانير لحمزة
p2p_transfer,حوّل لحمزة مبلغ 10 دنانير
p2p_transfer,أرسل مبلغ 10 دنانير إلى حمزة
p2p_transfer,حوّل إلى حمزة مبلغ 10 دنانير
p2p_transfer,قم بتحويل مبلغ 15 دينار لريم
p2p_transfer,أرسل مبلغ 15 دينار لريم
p2p_transfer,حوّل لريم مبلغ 15 دينار
p2p_transfer,أرسل مبلغ 15 دينار إلى ريم
p2p_transfer,حوّل إلى ريم مبلغ 15 دينار
p2p_transfer,قم بتحويل مبلغ 20 دينار لمراد
p2p_transfer,أرسل مبلغ 20 دينار لمراد
p2p_transfer,حوّل لمراد مبلغ 20 دينار
p2p_transfer,أرسل مبلغ 20 دينار إلى مراد
p2p_transfer,حوّل إلى مراد مبلغ 20 دينار
